,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
69,,,Measurement Approaches to Estimating Methadone Continuity in Opioid Use Disorder Care,Med Care. 2023 May 1;61(5):314-320. doi: 10.1097/MLR.0000000000001838. Epub 2023 Mar 13.,36917776,10.1097/MLR.0000000000001838,,,Abstract,Rejected,No safety information,,,No error,,,,United States,,,,,,,,,
70,,,Structure restoration and aggregate inhibition of V30M mutant transthyretin protein by potential quinoline molecules,Int J Biol Macromol. 2023 Mar 15;231:123318. doi: 10.1016/j.ijbiomac.2023.123318. Epub 2023 Jan 18.,36681222,10.1016/j.ijbiomac.2023.123318,,,Abstract,Rejected,No safety information,,,No error,,,,India,,,,,,,,,
71,,,Rise of escitalopram and the fall of citalopram,medRxiv. 2023 May 8:2023.05.07.23289632. doi: 10.1101/2023.05.07.23289632. Preprint.,37214883,10.1101/2023.05.07.23289632,,,Full text,Invalid,"Safety form secondary source_citalopram, escitalopram_ Dry mouth, headache, nausea, vomiting, diarrhea, insomnia, ejaculatory problems",,,No error,,,,United states,,"Citalopram, escitalopram","Dry mouth, headache, nausea, vomiting, diarrhea, insomnia, ejaculatory problems",,,,,,
72,,,Simple assay for quantifying xanthine oxidase activity,Anal Biochem. 2023 May 22;673:115192. doi: 10.1016/j.ab.2023.115192. Online ahead of print.,37225068,10.1016/j.ab.2023.115192,,,Abstract ,Rejected,No safety information_In Vitro study,,,No error ,,,,Iraq,,,,,,,,,
73,,,Analysis for variable manifestations and molecular characteristics of pyridox(am)ine-5'-phosphate oxidase (PNPO) deficiency,Hum Mol Genet. 2023 May 18;32(11):1765-1771. doi: 10.1093/hmg/ddac234.,36106796,10.1093/hmg/ddac234,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
74,,,Pneumocystis jirovecii pneumonia after CD4+ T-cell recovery subsequent to CD19-targeted chimeric antigen receptor T-cell therapy: A case report and brief review of literature,Cancer Rep (Hoboken). 2023 Aug 10:e1885. doi: 10.1002/cnr2.1885. Online ahead of print.,37563749,10.1002/cnr2.1885,,,Full Text,Invalid,No MA in COI_Timethoprim-sulfamethoxazole_Lack of efficasy (Patient developed PJP despite administration ofTMP/SMX),,,No error,,,,Japan,,Timethoprim-sulfamethoxazole,Lack of efficasy (Patient developed PJP despite administration ofTMP/SMX),,,,,,
75,,,Radical cation scavenging activity of berberine bridge enzyme-like oligosaccharide oxidases acting on short cell wall fragments,Sci Rep. 2023 Mar 13;13(1):4123. doi: 10.1038/s41598-023-31335-y.,36914850,10.1038/s41598-023-31335-y,,,Abstract,Rejected,No safety information_Enviormental study(Plant study),,,No Error,,,,Italy,,,,,,,,,
76,,,Impact of 2018 EU Risk Minimisation Measures and Revised Pregnancy Prevention Programme on Utilisation and Prescribing Trends of Medicinal Products Containing Valproate: An Interrupted Time Series Study,Drug Saf. 2023 Jul;46(7):689-702. doi: 10.1007/s40264-023-01314-3. Epub 2023 Jun 9.,37294532,10.1007/s40264-023-01314-3,,,Full text,Invalid,No MA in COI_Sodium valproate_DEDP,,,No Error,,,,Netherlands,,Sodium valproate,DEDP,,,,,,
77,,,Evolution of Antiphospholipid Syndrome,Semin Thromb Hemost. 2023 Apr;49(3):295-304. doi: 10.1055/s-0042-1760333. Epub 2023 Jan 16.,36646109,10.1055/s-0042-1760333,,,Full text,Invalid,No patient identifiers_Aspirin_DEDP,,,No Error,,,,United Kingdom,,Aspirin,DEDP,,,,,,
78,,,The impact of hyperglycemia upon BeWo trophoblast cell metabolic function: A multi-OMICS and functional metabolic analysis,PLoS One. 2023 Mar 17;18(3):e0283118. doi: 10.1371/journal.pone.0283118. eCollection 2023.,36930661,10.1371/journal.pone.0283118,,,Abstract,Rejected,Invivo study_No safety information,,,No Error,,,,Canada,,,,,,,,,
79,,,Co-assembled nanocomplexes comprising epigallocatechin gallate and berberine for enhanced antibacterial activity against multidrug resistant Staphylococcus aureus,Biomed Pharmacother. 2023 Jul;163:114856. doi: 10.1016/j.biopha.2023.114856. Epub 2023 May 16.,37196539,10.1016/j.biopha.2023.114856,,,Abstract,Rejected,No safety information_Animal study/invitro study ,,,No error ,,,,China,,,,,,,,,
80,,,Resveratrol-Exemestane Beneficial Regimen to Overcome the Complications over Existing Therapies for the Management of Breast Cancer,Curr Mol Med. 2023 Mar 14. doi: 10.2174/1566524023666230314104442. Online ahead of print.,36918787,10.2174/1566524023666230314104442,,,Abstract,Rejected,No safety information,,,No Error ,,,,India,,,,,,,,,
81,,,A Prehispanic infant from Tenerife with diffuse microporotic lesions,Anthropol Anz. 2023 Mar 16;80(2):205-223. doi: 10.1127/anthranz/2022/1593.,36458989,10.1127/anthranz/2022/1593,,,Abstract,Rejected,No safety information,,,No error ,,,,Spain,,,,,,,,,
82,,,Risk factors for thrombocytopenia in patients receiving linezolid therapy: a systematic review and meta-analysis,Eur J Clin Pharmacol. 2023 Aug 14. doi: 10.1007/s00228-023-03542-z. Online ahead of print.,37578552,10.1007/s00228-023-03542-z,,,Abstract,Invalid,Systematic review/Meta-analysis_Linezolid_Thrombocytopenia,,,No error,,,,China,,Linezolid,Thrombocytopenia,,,,,,
83,,,Effect of Microdoses of Incisional Antibiotics on the Rate of Surgical Site Infections in Skin Cancer Surgery: A Randomized Clinical Trial,JAMA Surg. 2023 May 24:e231201. doi: 10.1001/jamasurg.2023.1201. Online ahead of print.,37223929,10.1001/jamasurg.2023.1201,,,Abstract ,Rejected,No safety information,,,No error ,,,,New zealand,,,,,,,,,
84,,,"Syringol, a wildfire residual methoxyphenol causes cytotoxicity and teratogenicity in zebrafish model",Sci Total Environ. 2023 Mar 15;864:160968. doi: 10.1016/j.scitotenv.2022.160968. Epub 2022 Dec 19.,36549541,10.1016/j.scitotenv.2022.160968,,,Abstract ,Rejected,Invitro/Invivo study_No safety information,,,No Error,,,,India,,,,,,,,,
85,,,Comparative transcriptomic and proteomic analysis of nutritional quality-related molecular mechanisms of 'Qianmei 419' and 'Qianfu 4' varieties of Camellia sinensis,Gene. 2023 May 20;865:147329. doi: 10.1016/j.gene.2023.147329. Epub 2023 Mar 2.,36870427,10.1016/j.gene.2023.147329,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
86,,,Potential drug-drug interactions among U.S. adults treated with nirmatrelvir/ritonavir: A cross-sectional study of the national covid cohort collaborative (N3C),Pharmacotherapy. 2023 Aug 4. doi: 10.1002/phar.2860. Online ahead of print.,37539477,10.1002/phar.2860,,,Abstract,Invalid,No MA in COI_Atorvastatin_Drug-Drug Interaction,,,No error,,,,United states,,Atorvastatin,Drug-Drug Interaction,,,,,,
87,,,Systematic review of physiologically based kinetic lactation models for transfer of xenobiotic compounds to milk,Toxicol Appl Pharmacol. 2023 May 15;467:116495. doi: 10.1016/j.taap.2023.116495. Epub 2023 Mar 29.,36996912,10.1016/j.taap.2023.116495,,,Abstract,Rejected,No safety information_Animal study,,,No Error,,,,Netherlands,,,,,,,,,
88,,,"Pharmacokinetics, Bioequivalence, and Safety Evaluation of Two Formulations of 0.2-g Ibuprofen Granules",Clin Pharmacol Drug Dev. 2023 Jun;12(6):588-593. doi: 10.1002/cpdd.1211. Epub 2022 Dec 28.,36575962,10.1002/cpdd.1211,,,Full text,Invalid,"No MA in COI_Ibuprofen_Urinary tract infection,acupuncture syncope,increased blood leukocyte levels, and the presence of glucose in the urine",,,No error,,,,China,,Ibuprofen,"Urinary tract infection,acupuncture syncope,increased blood leukocyte levels, and the presence ofglucose in the urine",,,,,,
89,,,Composition and Antioxidative and Antibacterial Activities of the Essential Oil from Farfugium japonicum,Molecules. 2023 Mar 19;28(6):2774. doi: 10.3390/molecules28062774.,36985745,10.3390/molecules28062774,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,China,,,,,,,,,
90,,,Probing the drivers of Staphylococcus aureus biofilm protein amyloidogenesis and disrupting biofilms with engineered protein disaggregases,mBio. 2023 May 17:e0058723. doi: 10.1128/mbio.00587-23. Online ahead of print.,37195208,10.1128/mbio.00587-23,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,United States,,,,,,,,,
91,,,Olanzapine-Induced Bradycardia,Prim Care Companion CNS Disord. 2023 Aug 15;25(4):22cr03453. doi: 10.4088/PCC.22cr03453.,37595163,10.4088/PCC.22cr03453,,,Full text,Invalid,No MA in COI_Olanzapine_Bradycardia,,,No error,,,,India,,Olanzapine,Bradycardia,,,,,,
92,,,Reactive Oxygen Species-Responsive Gel-Based Microneedle Patches for Prolonged and Intelligent Psoriasis Management,ACS Nano. 2023 Mar 14;17(5):4346-4357. doi: 10.1021/acsnano.2c08979. Epub 2023 Feb 27.,36847798,10.1021/acsnano.2c08979,,,Abstract,Rejected,No safety information_Animal study,,,No Error,,,,China,,,,,,,,,
93,,,Nicotinamide N-methyl transferase and cancer-associated thrombosis: insights to prevention and management,Epigenomics. 2023 May 22. doi: 10.2217/epi-2023-0078. Online ahead of print.,37212051,10.2217/epi-2023-0078,,,Abstract,Rejected,Review_No safety information,,,No error ,,,,United States,,,,,,,,,
94,,,Impact of Prenatal Acetaminophen Exposure for Hippocampal Development Disorder on Mice,Mol Neurobiol. 2023 Jul 29. doi: 10.1007/s12035-023-03515-4. Online ahead of print.,37516664,10.1007/s12035-023-03515-4,,,Abstract,Invalid,"Animal study_Paracetamol_DEDP,FEDP(Neurodevelopmental Toxicity)",,,No error,,,,China,,Paracetamol,"DEDP,FEDP(Neurodevelopmental Toxicity)",,,,,,
95,,,Wheat derived glucuronokinase as a potential target for regulating ascorbic acid and phytic acid content with increased root length under drought and ABA stresses in Arabidopsis thaliana,Plant Sci. 2023 Jun;331:111671. doi: 10.1016/j.plantsci.2023.111671. Epub 2023 Mar 15.,36931562,10.1016/j.plantsci.2023.111671,,,Abstract,Rejected,No safety information_Plant study,,,No Error,,,,India,,,,,,,,,
96,,,Effect of bacillus subtilis strain Z15 secondary metabolites on immune function in mice,BMC Genomics. 2023 May 19;24(1):273. doi: 10.1186/s12864-023-09313-5.,37208602,10.1186/s12864-023-09313-5,,,Abstract ,Rejected,No safety information_Animal study,,,No error,,,,China,,,,,,,,,
97,,,Aromatase inhibition plus/minus Src inhibitor saracatinib (AZD0530) in advanced breast cancer therapy (ARISTACAT): a randomised phase II study,Breast Cancer Res Treat. 2023 May;199(1):35-46. doi: 10.1007/s10549-023-06873-8. Epub 2023 Mar 2.,36859649,10.1007/s10549-023-06873-8,,,Full text,Invalid,"No Patient-product-event correlation_Fatigue,Alopecia,Rash etc..,( Refer Table 3)",,,No Error,,,,United Kingdom,,"Anastrazole,Exemestane","Fatigue,Alopecia,Rash etc..,( Refer Table 3)",,,,,,
98,,,Analyzing the potential environmental impact of NIOSH list of hazardous drugs (group 2),Sci Total Environ. 2023 May 15;873:162280. doi: 10.1016/j.scitotenv.2023.162280. Epub 2023 Feb 22.,36822426,10.1016/j.scitotenv.2023.162280,,,Abstract,Rejected,No safety information,,,No error ,,,,Spain,,,,,,,,,
99,,,Water Vapor Condensation on Iron Minerals Spontaneously Produces Hydroxyl Radical,Environ Sci Technol. 2023 May 25. doi: 10.1021/acs.est.3c01379. Online ahead of print.,37226678,10.1021/acs.est.3c01379,,,Abstract ,Rejected,No safety information_Environmental study,,,No error ,,,,China,,,,,,,,,
100,,,Real-Time Pyruvate Chemical Conversion Monitoring Enabled by PHIP,J Am Chem Soc. 2023 Mar 15;145(10):5864-5871. doi: 10.1021/jacs.2c13198. Epub 2023 Mar 1.,36857108,10.1021/jacs.2c13198,,,Abstract,Rejected,No safety information_invitro study,,,No Error,,,,Germany,,,,,,,,,
101,,,Clinical Outcomes of Mirogabalin Treatment for Neuropathic Pain Due to Spinal Diseases in Patients Intolerant to Continuous Administration of Pregabalin,Spine Surg Relat Res. 2022 Oct 28;7(2):136-141. doi: 10.22603/ssrr.2022-0127. eCollection 2023 Mar 27.,37041868,10.22603/ssrr.2022-0127,,,Full Text,Invalid,"No MA in COI_Pregabalin_Lack of efficacy, somnolence, edema, Dizziness",,,No error,,,,Japan,,Pregabalin,"Lack of efficacy, somnolence, edema, Dizziness",,,,,,
102,,,Genome-wide association analysis identifies ancestry-specific genetic variation associated with acute response to metformin and glipizide in SUGAR-MGH,Diabetologia. 2023 May 26. doi: 10.1007/s00125-023-05922-7. Online ahead of print.,37233759,10.1007/s00125-023-05922-7,,,Abstract,Rejected,No safety information_Gene study,,,No error,,,,United states,,,,,,,,,
103,,,Machine learning-based predictive models and drug prediction for schizophrenia in multiple programmed cell death patterns,Front Mol Neurosci. 2023 Mar 13;16:1123708. doi: 10.3389/fnmol.2023.1123708. eCollection 2023.,36993785,10.3389/fnmol.2023.1123708,,,Full Text,Rejected,No safety information,,,No error ,,,,Australia,,,,,,,,,
104,,,Septic Shock and Bacteremia Secondary to Herbaspirillum huttiense: A Case Report and Review of Literature,Cureus. 2023 Mar 14;15(3):e36155. doi: 10.7759/cureus.36155. eCollection 2023 Mar.,37065293,10.7759/cureus.36155,,,Full text,Rejected,Review article_No safety information,,,No error,,,,United States,,,,,,,,,
105,,,Using behavioral observations in freestalls and at milking to improve pain detection in dairy cows after lipopolysaccharide-induced clinical mastitis,J Dairy Sci. 2023 May 31:S0022-0302(23)00290-4. doi: 10.3168/jds.2022-22533. Online ahead of print.,37268578,10.3168/jds.2022-22533,,,Abstract,Invalid,"Animal study_ lower plasma cortisol levels,heart rate increased,rumen motility rate increased _Ketoprofen",,,No Error,,,,France,,Ketoprofen,"lower plasma cortisol levels,heart rate increased,rumen motility rate increased",,,,,,
106,,,Post-percutaneous coronary intervention CYP2C19 genotyping in an Irish population: The potential role in identifying clopidogrel therapy-related bleeding risks,Br J Clin Pharmacol. 2023 Aug;89(8):2413-2422. doi: 10.1111/bcp.15709. Epub 2023 Mar 23.,36890711,10.1111/bcp.15709,,,Full text,Invalid,No MA in COI_Clopidogrel_ischaemic and bleeding events (Ref table-3),,,No Error,,,,Ireland,,Clopidogrel,ischaemic and bleeding events (Ref table-3),,,,,,
107,,,Selective PDE4B and PDE4D inhibitors produce distinct behavioral responses to ethanol and GABAergic drugs in mice,Neuropharmacology. 2023 Jun 15;231:109508. doi: 10.1016/j.neuropharm.2023.109508. Epub 2023 Mar 18.,36935006,10.1016/j.neuropharm.2023.109508,,,Abstract,Rejected,No safety information_Animal study,,,No Error,,,,United states,,,,,,,,,
108,,,Preparation and Characterization of Poly(vinyl acetate-co-2-hydroxyethyl methacrylate) and In Vitro Application as Contact Lens for Acyclovir Delivery,Int J Mol Sci. 2023 Mar 13;24(6):5483. doi: 10.3390/ijms24065483.,36982556,10.3390/ijms24065483,,,Abstract,Rejected,No safety information_in vitro study,,,No Error,,,,Saudi Arabia,,,,,,,,,
109,,,Brazilian Research Consortium on Obsessive-Compulsive Spectrum Disorders guidelines for the treatment of adult obsessive-compulsive disorder. Part I: pharmacological treatment,Braz J Psychiatry. 2023 May 11;45(2):146-161. doi: 10.47626/1516-4446-2022-2891.,36749887,10.47626/1516-4446-2022-2891,,,Full text,Invalid,No MA in COI_Olanzapine_weight gain,,,No error,,,,Brazil,,Olanzapine,weight gain,,,,,,
110,,,Metformin Impacts Human Syncytiotrophoblast Mitochondrial Function from Pregnancies Complicated by Obesity and Gestational Diabetes Mellitus in a Sexually Dimorphic Manner,Antioxidants (Basel). 2023 Mar 14;12(3):719. doi: 10.3390/antiox12030719.,36978967,10.3390/antiox12030719,,,Abstract,Invalid,"Invitro study_Metformin_DEDP,FEDP(decreases in basal,maximal and ATP-linked respiration)",,,No Error,,,,United States,,Metformin,"DEDP,FEDP(decreases in basal,maximal and ATP-linked respiration)",,,,,,
111,,,Use of Tirofiban to Prevent Ischemic Events in Patients with CYP2C19 Loss-of-Function Alleles during Flow Diversion of Intracranial Aneurysm: A Multicenter Cohort Study,Transl Stroke Res. 2023 Jul 31. doi: 10.1007/s12975-023-01171-3. Online ahead of print.,37523134,10.1007/s12975-023-01171-3,,,Abstract,Invalid,No MA in COI_Clopidogrel_nonresponsiveness ,,,No Error,,,,China,,Clopidogrel,nonresponsiveness,,,,,,
112,,,Accelerated Ultraviolet Treatment of Carbamazepine and NDMA in Water under 222 nm Irradiation,Environ Sci Technol. 2023 May 15. doi: 10.1021/acs.est.3c00703. Online ahead of print.,37186817,10.1021/acs.est.3c00703,,,Abstract,Rejected,No safety information,,,No error ,,,,United States,,,,,,,,,
113,,,Locomotion Outcome Improvement in Mice with Glioblastoma Multiforme after Treatment with Anastrozole,Brain Sci. 2023 Mar 15;13(3):496. doi: 10.3390/brainsci13030496.,36979306,10.3390/brainsci13030496,,,Abstract,Rejected,No safety information_Animal study,,,No Error,,,,Mexico,,,,,,,,,
114,,,Antibiotic Resistance Profiling of Pathogenic Staphylococcus Species from Urinary Tract Infection Patients in Benin,Biomed Res Int. 2023 May 15;2023:6364128. doi: 10.1155/2023/6364128. eCollection 2023.,37223336,10.1155/2023/6364128,,,Abstract,Rejected,No safety information_Invitro study,,,No error ,,,,Benin,,,,,,,,,
115,,,A Retrospective Review of Baclofen Treatment for Children with Rumination Syndrome at a Single Center,Paediatr Drugs. 2023 May;25(3):359-363. doi: 10.1007/s40272-023-00567-w. Epub 2023 Mar 21.,36943582,10.1007/s40272-023-00567-w,,,Abstract ,Invalid,No MA in COI_baclofen_dizziness,,,No Error,,,,United States,,baclofen,dizziness,,,,,,
116,,,"The Clinical Septet of Van Wyk-Grumbach Syndrome: A Case Series from a Tertiary Care Centre in Kalyana Karnataka, India",touchREV Endocrinol. 2023 May;19(1):98-102. doi: 10.17925/EE.2023.19.1.98. Epub 2023 Feb 6.,37313241,10.17925/EE.2023.19.1.98,,,Full Text,Invalid,No MA in COI_Levothyroxine_ poor attention span and hyperactivity.,,,No error,,,,India,,Levothyroxine,poor attention span and hyperactivity.,,,,,,
117,,,Multifaceted regulatory functions of CsBPC2 in cucumber under salt stress conditions,Hortic Res. 2023 Mar 15;10(5):uhad051. doi: 10.1093/hr/uhad051. eCollection 2023 May.,37213679,10.1093/hr/uhad051,,,Abstract,Rejected,No safety information_Plant study/Environmental study,,,No Error,,,,China,,,,,,,,,
